singular_value_index,mean_c_ideal_noise_0,std_c_ideal_noise_0,mean_c_noisy_noise_25,std_c_noisy_noise_25,mean_c_ctc_noise_25,std_c_ctc_noise_25,mean_c_noisy_noise_50,std_c_noisy_noise_50,mean_c_ctc_noise_50,std_c_ctc_noise_50
110,0.003615562284690053,0.0,0.5701586816330737,0.0,0.017106145311804065,0.0,0.8230084762899972,0.0,2.6847165444521706e-14,0.0
111,0.0033640591103312927,0.0,0.5675686708430684,0.0,0.011438639376308794,0.0,0.8217031427294256,0.0,2.6662724562661874e-14,0.0
112,0.0031460009120721556,0.0,0.5673357062316376,0.0,0.008873504975808497,0.0,0.8206892035552812,0.0,2.5481585040946492e-14,0.0
113,0.0030168209169824816,0.0,0.5651878927292338,0.0,0.00434825049597494,0.0,0.820199259394572,0.0,2.5265708033956457e-14,0.0
114,0.0029961900033050486,0.0,0.5644049225612631,0.0,0.00241385605026601,0.0,0.8196010871747234,0.0,2.351405371243237e-14,0.0
115,0.002747796203169907,0.0,0.5612181512708835,0.0,3.918087378264683e-14,0.0,0.8183235897765334,0.0,2.3448715049807676e-14,0.0
116,0.0026438254442414325,0.0,0.5603651985314453,0.0,3.688925442813533e-14,0.0,0.8170833168960918,0.0,2.2965519595671663e-14,0.0
117,0.0025661045281908336,0.0,0.5584672593473131,0.0,3.491251918776695e-14,0.0,0.8165760830263409,0.0,2.2854055800066205e-14,0.0
118,0.0025476334230836277,0.0,0.5568284631567343,0.0,3.2478384563458926e-14,0.0,0.8157240047604258,0.0,2.1832637372202847e-14,0.0
119,0.002511228065922879,0.0,0.5547374861639236,0.0,3.0839614316102186e-14,0.0,0.8146202060646061,0.0,2.1555636600029514e-14,0.0
120,0.002342881283006571,0.0,0.55397896768713,0.0,2.873308579594482e-14,0.0,0.8138376828670594,0.0,2.0646292866830217e-14,0.0
121,0.0022979195797258175,0.0,0.5526588913719372,0.0,2.84379220616925e-14,0.0,0.8127401779953812,0.0,2.0474663832479123e-14,0.0
122,0.0021935354577335498,0.0,0.5503705008947857,0.0,2.799952426855371e-14,0.0,0.8118364722351712,0.0,1.9878469436517208e-14,0.0
123,0.0020595716780535535,0.0,0.5468485146437482,0.0,2.6604826561537512e-14,0.0,0.8104224175539989,0.0,1.9150803572401136e-14,0.0
124,0.0019845376357109008,0.0,0.5438982159674938,0.0,2.6432990613829876e-14,0.0,0.8097106657886772,0.0,1.903166015699375e-14,0.0
125,0.0018953058202666225,0.0,0.5420104565631295,0.0,2.592944311267099e-14,0.0,0.8078856408485169,0.0,1.8488009777273104e-14,0.0
126,0.001834218617321092,0.0,0.5414095317061896,0.0,2.5797147044617143e-14,0.0,0.8072857646724109,0.0,1.8401709117180918e-14,0.0
127,0.0017331311678367067,0.0,0.5404884891621117,0.0,2.5199536518499713e-14,0.0,0.8068471170081751,0.0,1.8011751370569528e-14,0.0
128,0.0017204227025975818,0.0,0.5386314672230275,0.0,2.3976206261908552e-14,0.0,0.8053211112398568,0.0,1.7952683115833753e-14,0.0
129,0.001619844751185888,0.0,0.5360840055094677,0.0,2.3676093346438225e-14,0.0,0.8038360960003272,0.0,1.732942512722106e-14,0.0
130,0.0015667184117404266,0.0,0.5341441058789705,0.0,2.2558433041240987e-14,0.0,0.8028856912865319,0.0,1.6947147604024603e-14,0.0
131,0.0014539214800438382,0.0,0.5336200321203618,0.0,2.224400291129104e-14,0.0,0.8014314793383,0.0,1.6581303119562447e-14,0.0
